MOVID,director
148775.0,Lev L. Spiro
148881.0,Don Hertzfeldt
148888.0,Ben Stiller
148956.0,Christian Ditter
148978.0,Atsushi Takahashi
148982.0,Curtis Harrington
149011.0,Jason Krawczyk
149144.0,Takashi Yamazaki
149146.0,Takashi Yamazaki
149330.0,Clive Smith
149334.0,Tom Ford
149350.0,Josh Bear
149352.0,Sean Anders
149354.0,Jason Moore
149380.0,Terry Ingram
149406.0,Alessandro Carloni
149508.0,In-ho Hwang
149566.0,Bryan Lefler
149590.0,Adam Alleca
149612.0,Keith Parmer
149830.0,Burr Steers
149902.0,Mamoru Oshii
150254.0,Sean Byrne
150401.0,Isaac Florentine
150548.0,Douglas Mackinnon
150554.0,Peyton Reed
150596.0,Douglas Mackinnon
150604.0,Antoine Bardou-Jacquet
150696.0,Cyril Dion
150993.0,Javier Ruiz Caldera
151311.0,Todd Solondz
151315.0,Tim Story
151317.0,Rebecca Miller
151455.0,Dexter Fletcher
151479.0,Danny Bilson
151501.0,Gee Malik Linton
151557.0,Roland Emmerich
151559.0,Bernard Rose
151653.0,Oliver Thompson
151687.0,Kevin Reynolds
151695.0,Stephen Fingleton
151739.0,Dan Mazer
151745.0,Poul Bang
151759.0,Peter D. Hutchison
151763.0,Tetsurô Araki
151769.0,Vladimir Popov
151777.0,Craig Gillespie
151781.0,Kenji Kamiyama
152037.0,Thomas Kail
152063.0,Alex Proyas
152065.0,Ciro Guerra
152071.0,Stephen Hopkins
152077.0,Dan Trachtenberg
152079.0,Babak Najafi
152081.0,Byron Howard
152083.0,Glenn Ficarra
152085.0,Jonás Cuarón
152091.0,Louis Leterrier
152105.0,Norman Cohen
152173.0,John Landis
152270.0,Piero Messina
152372.0,Roxanne Benjamin
152591.0,Wilson Yip
152658.0,Gil Junger
152711.0,Bradley Cox
152970.0,Taika Waititi
153070.0,David Lynch
153236.0,Nicolas de Crécy
153386.0,Oldrich Lipský
153408.0,Uros Stojanovic
154065.0,Oliver Parker
154358.0,Annika Iltis
154975.0,François Ruffin
155064.0,Nicolas Winding Refn
155168.0,Lars Jessen
155288.0,Gavin Hood
155358.0,Josh C. Waller
155509.0,Paco Cabezas
155589.0,Jukka Virtanen
155659.0,Stephen Frears
155743.0,Kirk Jones
155774.0,Gabriel Mascaro
155812.0,Dylan Kidd
155820.0,Peter Atencio
155892.0,Max Landis
156025.0,Paul Stodolny
156371.0,Richard Linklater
156387.0,John Carney
156553.0,Pedro Morelli
156605.0,Jim Jarmusch
156607.0,Cedric Nicolas-Troyan
156609.0,Nicholas Stoller
156675.0,William Castle
156706.0,Alex Brewer
156726.0,Mike Flanagan
156781.0,Tristram Shapeero
156783.0,Paul Wheeler
157108.0,Ralf Huettner
157110.0,Helge Schneider
157122.0,Matt Brown
157130.0,Shamim Sarif
157172.0,Charles B. Griffith
157200.0,Jodie Foster
157270.0,Malcolm D. Lee
157296.0,Andrew Stanton
157312.0,Ben Falcone
157340.0,Clay Kaytis
157369.0,Hitoshi Ône
157407.0,Chuck Russell
157432.0,Max Adams
157699.0,Oliver Stone
157775.0,Hiroshi Negishi
157865.0,Kevin Munroe
158022.0,Matt Wilde
158027.0,Ho-jae Lee
158035.0,Yôichi Fujita
158238.0,Shane Black
158254.0,Don Michael Paul
158388.0,Daniel Haller
158398.0,Roy Andersson
158402.0,Nikolay Lebedev
158528.0,Jaume Collet-Serra
158721.0,Benny Chan
158783.0,Park Chan-Wook
158813.0,James Bobin
158830.0,Steven Spielberg
158842.0,John Dower
158872.0,Greg Tiernan
158874.0,Kazuhiko Yamaguchi
158882.0,Monika Mitchell
158956.0,Steven Gomez
158966.0,Matt Ross
158972.0,Maren Ade
159061.0,Na Hong-jin
159069.0,Mikhail Grigorev
159077.0,Lorene Scafaria
159093.0,Jon M. Chu
159161.0,Jay Karas
159193.0,Woody Allen
159403.0,Yoshiaki Kawajiri
159415.0,Dan Kwan
159441.0,Steven Brill
159510.0,Joe D'Amato
159690.0,Dave Green
159717.0,Rob Burnett
159755.0,Akiva Schaffer
159779.0,David Kerr
159811.0,Inessa Kovalevskaya
159849.0,Bo Burnham
159858.0,James Wan
159976.0,Jeff Zimbalist
160080.0,Paul Feig
160271.0,Rawson Marshall Thurber
160289.0,Ezra Edelman
160341.0,Siu-Hung Leung
160400.0,Michael Grandage
160422.0,Jack Lee
160438.0,Paul Greengrass
160440.0,Michael Walker
160527.0,Kinji Fukasaku
160563.0,David Yates
160565.0,James DeMonaco
160567.0,Jake Szymanski
160569.0,Mike Thurmeier
160571.0,David F. Sandberg
160573.0,David Lowery
160644.0,James Schamus
160646.0,Andrew Neel
160684.0,Steven C. Miller
160718.0,Alan Barillaro
160730.0,Pamela Romanowsky
160836.0,Sion Sono
160848.0,Michael Dudok de Wit
160872.0,Jeffrey G. Hunt
160954.0,Henry Joost
160978.0,Hiroki Yamaguchi
160980.0,Clint Eastwood
161008.0,Greydon Clark
161024.0,Ryan Polito
161032.0,David Lynch
161044.0,Thomas Borch Nielsen
161127.0,Brad Furman
161131.0,Todd Phillips
161290.0,Christian Sesma
161354.0,Sam Liu
161580.0,Jon Lucas
161582.0,David Mackenzie
161594.0,Takeshi Nozue
161634.0,Fede Alvarez
161830.0,Dan Berk
161918.0,Anthony C. Ferrante
161922.0,Kelly Fremon Craig
161966.0,Paul Verhoeven
162082.0,Sang-ho Yeon
162344.0,Jay Karas
162350.0,Antoine Fuqua
162414.0,Barry Jenkins
162478.0,Jared Hess
162578.0,Travis Knight
162590.0,Sharon Maguire
162598.0,Peter Berg
162600.0,Tim Burton
162602.0,Tate Taylor
162606.0,Gavin O'Connor
162828.0,Daniel Ragussis
162968.0,Tatsuya Oishi
162982.0,Kanji Wakabayashi
163056.0,Hideaki Anno
163072.0,Fyodor Khitruk
163112.0,Fyodor Khitruk
163134.0,Makoto Shinkai
163386.0,Fyodor Khitruk
163527.0,Joel Gallen
163639.0,Cecilia Aranovich
163645.0,Mel Gibson
163653.0,Alex Coletti
163925.0,Igor Kovalyov
163937.0,Adam Wingard
163981.0,Rob Zombie
163985.0,Tony Elliott
164179.0,Denis Villeneuve
164200.0,Nicholas Stoller
164226.0,Jay Martin
164280.0,Alejandro Jodorowsky
164367.0,Colm McCarthy
164375.0,Ella Lemhagen
164540.0,Rod Blackhurst
164647.0,Andrew Bush
164655.0,Jim Jarmusch
164707.0,Francine McDougall
164753.0,Terry Ingram
164881.0,Emilis Velyvis
164909.0,Damien Chazelle
164917.0,Ava DuVernay
165075.0,Derrick Borte
165101.0,Ron Howard
165103.0,Greg Mottola
165139.0,Andy Tennant
165343.0,Kenny Ortega
165347.0,Edward Zwick
165483.0,Anthony Giordano
165489.0,Roger Mainwood
165529.0,Jeff Bleckner
165549.0,Kenneth Lonergan
165551.0,Garth Davis
165635.0,Michael J. Gallagher
165639.0,Taika Waititi
165645.0,Mark Waters
165671.0,Brett Harvey
165843.0,Laura Poitras
165947.0,Jeff Wadlow
165959.0,Konstantin Bronzit
165969.0,Adam Curtis
166015.0,Julien Rambaldi
166024.0,Damien Chazelle
166183.0,Boris Stepantsev
166203.0,Felix Fuchssteiner
166291.0,Naoko Yamada
166461.0,Ron Clements
166492.0,Josh Gordon
166526.0,Peter Chelsom
166528.0,Gareth Edwards
166534.0,M. Night Shyamalan
166558.0,Anna Foerster
166568.0,John Madden
166635.0,Morten Tyldum
166643.0,Theodore Melfi
166705.0,Denzel Washington
