MOVID,director
4687.0,John Schlesinger
4688.0,Bruce Beresford
4689.0,Dario Argento
4690.0,Francis Ford Coppola
4695.0,Karel Reisz
4697.0,Frank Henenlotter
4699.0,Michael Cristofer
4700.0,Garry Marshall
4701.0,Brett Ratner
4703.0,Claire Denis
4704.0,Howard Hawks
4705.0,Édouard Molinaro
4708.0,Peter Brook
4709.0,Joshua Logan
4710.0,Don Siegel
4711.0,Steven M. Martin
4713.0,Ken Russell
4714.0,Buddy Van Horn
4715.0,Mike Newell
4717.0,Robert Clouse
4718.0,J.B. Rogers
4719.0,Bobby Farrelly
4720.0,Alejandro Amenábar
4721.0,Les Mayfield
4722.0,Julie Davis
4723.0,Scott McGehee
4725.0,Brad Anderson
4727.0,John Madden
4728.0,Jerry Zucker
4732.0,Blair Hayes
4733.0,Woody Allen
4734.0,Kevin Smith
4735.0,John Carpenter
4736.0,Michael Tollin
4738.0,Brad Anderson
4740.0,Ben Elton
4741.0,Lukas Moodysson
4743.0,Maria Ripoll
4744.0,Victor Salva
4745.0,Tim Blake Nelson
4748.0,Jon Turteltaub
4749.0,Charles T. Kanganis
4750.0,Sang-ok Shin
4754.0,Robin Hardy
4756.0,Peter Hyams
4757.0,Stephen Herek
4759.0,Mark Brown
4765.0,Michael Cuesta
4766.0,Barbet Schroeder
4769.0,Mark Jonathan Harris
4770.0,Daniel Sackheim
4771.0,Brian Robbins
4772.0,Bob Giraldi
4773.0,Jacob Kornbluth
4774.0,Barry Sonnenfeld
4775.0,Vondie Curtis-Hall
4776.0,Antoine Fuqua
4777.0,Cory McAbee
4780.0,Stephen Frears
4782.0,Edward Burns
4783.0,George Butler
4784.0,Karel Reisz
4785.0,Sergio Corbucci
4786.0,John Hough
4787.0,Jodie Foster
4788.0,Vladimir Menshov
4789.0,Brian De Palma
4792.0,William Castle
4794.0,Dario Argento
4795.0,Ralph Nelson
4796.0,Stanley Donen
4798.0,Stanley Donen
4799.0,Stanley Kramer
4800.0,Robert Stevenson
4801.0,William Wyler
4802.0,Blake Edwards
4803.0,Clint Eastwood
4804.0,Frank Capra
4808.0,George Sluizer
4809.0,Mike Nichols
4810.0,Anthony Page
4811.0,Franc Roddam
4812.0,Harry Winer
4813.0,Rudolph Maté
4814.0,Gary Fleder
4815.0,Scott Hicks
4816.0,Ben Stiller
4818.0,Eric Hannah
4821.0,John Dahl
4822.0,Tim Hill
4823.0,Peter Chelsom
4825.0,Lucrecia Martel
4826.0,Samuel Fuller
4827.0,Ulli Lommel
4828.0,Claude Pinoteau
4830.0,Stuart Rosenberg
4831.0,Nancy Walker
4833.0,Peter Medak
4835.0,Michael Apted
4836.0,Joel Oliansky
4840.0,François Truffaut
4844.0,Barry Levinson
4845.0,Rob Pritts
4846.0,Woo-Ping Yuen
4847.0,Catherine Breillat
4848.0,David Lynch
4849.0,Christine Lahti
4850.0,Hirotsugu Kawasaki
4852.0,Ernest R. Dickerson
4855.0,Don Siegel
4857.0,Norman Jewison
4860.0,Dorian Walker
4862.0,Brian Gilbert
4863.0,John Waters
4864.0,Stephen Low
4865.0,Albert Hughes
4866.0,Rod Lurie
4867.0,Penny Marshall
4871.0,Neal Slavin
4873.0,Richard Linklater
4874.0,Iain Softley
4876.0,Steve Beck
4877.0,Jonathan Teplitzky
4878.0,Richard Kelly
4879.0,Mel Smith
4880.0,Irwin Winkler
4881.0,Joel Coen
4883.0,Robert Guédiguian
4885.0,Harold Becker
4886.0,Pete Docter
4887.0,James Wong
4888.0,Richard Linklater
4889.0,David Mamet
4890.0,Bobby Farrelly
4893.0,Fred Walton
4896.0,Chris Columbus
4898.0,David Atkins
4899.0,Gil Junger
4900.0,Brendan Malloy
4901.0,Tony Scott
4902.0,Guillermo del Toro
4903.0,Todd Field
4909.0,Joel Schumacher
4911.0,Terry Gilliam
4912.0,William Wyler
4914.0,Jean-Luc Godard
4915.0,Don Coscarelli
4916.0,Jack Smight
4917.0,Joseph Sargent
4919.0,Luc Besson
4920.0,Irving Rapper
4921.0,George Cukor
4925.0,Robert Moore
4926.0,Dominique Deruddere
4927.0,Peter Weir
4928.0,Luis Buñuel
4929.0,Richard Donner
4932.0,Brian De Palma
4936.0,Alan Parker
4939.0,Don Taylor
4941.0,Mike Hodges
4942.0,Ib Melchior
4945.0,James Fargo
4946.0,Steve Carver
4947.0,Clint Eastwood
4951.0,Harry Hook
4952.0,Mike Hodges
4953.0,Kevin Connor
4954.0,Lewis Milestone
4956.0,Richard Rush
4957.0,Clint Eastwood
4958.0,John Moore
4959.0,Charles Shyer
4961.0,Scott J. Gill
4962.0,Steve Miner
4963.0,Steven Soderbergh
4964.0,Majid Majidi
4965.0,Patrick Stettner
4966.0,Jack Arnold
4967.0,Danis Tanovic
4969.0,René Clair
4970.0,Josef von Sternberg
4971.0,Paul Mazursky
4973.0,Jean-Pierre Jeunet
4974.0,Joel Gallen
4975.0,Cameron Crowe
4976.0,Richard Eyre
4977.0,Mohsen Makhmalbaf
4978.0,Ray Lawrence
4979.0,Wes Anderson
4980.0,Peter Hewitt
4981.0,Christopher Morahan
4985.0,John Guillermin
4987.0,Lamont Johnson
4988.0,Jeff Bleckner
4989.0,Jesse Dylan
4990.0,John A. Davis
4991.0,John Pasquin
4992.0,James Mangold
4993.0,Peter Jackson
4994.0,Frank Darabont
4995.0,Ron Howard
4998.0,Stanley Kramer
5004.0,Blake Edwards
5007.0,Jules Dassin
5008.0,Billy Wilder
5009.0,Michael Mann
5010.0,Ridley Scott
5011.0,Gillian Armstrong
5012.0,Barbra Streisand
5013.0,Robert Altman
5014.0,Jessie Nelson
5015.0,Marc Forster
5016.0,Lasse Hallström
5021.0,Robert Moore
5023.0,Neal Jimenez
5025.0,Jake Kasdan
5026.0,Christophe Gans
5027.0,Walter Hill
5028.0,Ming-liang Tsai
5033.0,Fred Schepisi
5034.0,Anthony Minghella
5039.0,Matthew Robbins
5040.0,Richard Fleischer
5041.0,Ralph Bakshi
5046.0,Gary Fleder
5047.0,Steve Oedekerk
5048.0,Brian Levant
5049.0,Walter Hill
5051.0,Lone Scherfig
5053.0,Mike Binder
5054.0,Douglas Trumbull
5055.0,Rob Cohen
5059.0,Werner Herzog
5060.0,Robert Altman
5062.0,John Frankenheimer
5063.0,Marlon Brando
5064.0,Kevin Reynolds
5065.0,Mark Pellington
5066.0,Adam Shankman
5068.0,Xiaoshuai Wang
5069.0,Kazuki Akane
5071.0,Denis Villeneuve
5072.0,Rintaro
5073.0,Nanni Moretti
5074.0,Todd Solondz
5075.0,Gary Burns
5076.0,Stephen Sommers
5077.0,Joel Schumacher
5080.0,Dewey Nicks
5081.0,Jez Butterworth
5083.0,Sturla Gunnarsson
5088.0,Bertrand Blier
5092.0,Shawn Levy
5093.0,Andrew Davis
5094.0,John McTiernan
5095.0,Billy Morrissette
5096.0,Patrick Read Johnson
5099.0,Allan Dwan
5102.0,Daniel Stern
5103.0,David Mickey Evans
5105.0,Nicolas Roeg
5106.0,Tamra Davis
5107.0,Gregory Hoblit
5108.0,Nick Cassavetes
5109.0,Robin Budd
5110.0,Jay Chandrasekhar
5111.0,Joseph Ruben
5112.0,Fred Schepisi
5113.0,Vittorio De Sica
5114.0,Vincente Minnelli
5116.0,Vincente Minnelli
5120.0,Joseph L. Mankiewicz
5121.0,Werner Herzog
5127.0,Tom Shadyac
