MOVID,director
704.0,Jean-Claude Van Damme
706.0,Steve Gomer
707.0,Lee Tamahori
708.0,Michael Lehmann
709.0,George Scribner
710.0,Tom DeCerchio
711.0,Alan Shapiro
714.0,Jim Jarmusch
715.0,Jean-Paul Rappeneau
718.0,Jean-Marie Poiré
719.0,Harold Ramis
722.0,Brett Thompson
724.0,Andrew Fleming
725.0,Reginald Hudlin
726.0,Bruce Beresford
728.0,John Schlesinger
731.0,Phil Joanou
733.0,Michael Bay
735.0,Michele Soavi
736.0,Jan de Bont
737.0,David Hogan
741.0,Mamoru Oshii
742.0,Tom Holland
743.0,Rick Friedberg
745.0,Nick Park
747.0,John Landis
748.0,David Twohy
750.0,Stanley Kubrick
757.0,Kar-Wai Wong
759.0,Freida Lee Mock
760.0,Joseph Vilsmaier
761.0,Simon Wincer
762.0,Andrew Bergman
764.0,James Mangold
765.0,Francis Ford Coppola
766.0,Mary Harron
773.0,Djibril Diop Mambéty
775.0,Federico Fellini
778.0,Danny Boyle
779.0,Scott Winant
780.0,Roland Emmerich
781.0,Bernardo Bertolucci
782.0,Tony Scott
783.0,Gary Trousdale
784.0,Ben Stiller
785.0,Bobby Farrelly
786.0,Chuck Russell
788.0,Tom Shadyac
790.0,Lucian Pintilie
791.0,Yale Strom
795.0,Alexandre Rockwell
798.0,Rob Cohen
799.0,Peter Jackson
800.0,John Sayles
801.0,Bronwen Hughes
802.0,Jon Turteltaub
803.0,Nicole Holofcener
804.0,Edward Burns
805.0,Joel Schumacher
806.0,Michael Corrente
808.0,Fraser C. Heston
809.0,Kevin Hooks
810.0,Paul Michael Glaser
813.0,Howard Franklin
818.0,Arlene Sanford
823.0,Éric Rohmer
824.0,Peter Sehr
828.0,Steve Barron
829.0,John Payson
830.0,Hugh Wilson
832.0,Ron Howard
833.0,Hart Bochner
835.0,Annette Haywood-Carter
836.0,Andrew Davis
837.0,Danny DeVito
838.0,Douglas McGrath
839.0,Tim Pope
840.0,Harry Winer
841.0,Georges Franju
842.0,Gilbert Adler
848.0,Lee David Zlotoff
849.0,John Carpenter
851.0,Julian Schnabel
852.0,Ron Shelton
858.0,Francis Ford Coppola
861.0,Stanley Tong
866.0,Lana Wachowski
867.0,Arthur Hiller
869.0,Robert Altman
870.0,Christopher Cain
875.0,Izidore K. Musallam
876.0,Stanley Tong
879.0,Peter Hyams
880.0,John Frankenheimer
881.0,David Mickey Evans
882.0,David Koepp
885.0,Norman Jewison
886.0,Ernest R. Dickerson
888.0,Roy Allen Smith
889.0,Theo van Gogh
891.0,Joe Chappelle
892.0,Trevor Nunn
893.0,Keith Gordon
896.0,André Téchiné
897.0,Sam Wood
898.0,George Cukor
899.0,Stanley Donen
900.0,Vincente Minnelli
901.0,Stanley Donen
902.0,Blake Edwards
903.0,Alfred Hitchcock
904.0,Alfred Hitchcock
905.0,Frank Capra
906.0,George Cukor
907.0,Mark Sandrich
908.0,Alfred Hitchcock
909.0,Billy Wilder
910.0,Billy Wilder
911.0,Stanley Donen
912.0,Michael Curtiz
913.0,John Huston
914.0,George Cukor
915.0,Billy Wilder
916.0,William Wyler
917.0,Walter Lang
918.0,Vincente Minnelli
919.0,Victor Fleming
920.0,Victor Fleming
921.0,Richard Benjamin
922.0,Billy Wilder
923.0,Orson Welles
924.0,Stanley Kubrick
926.0,Joseph L. Mankiewicz
927.0,George Cukor
928.0,Alfred Hitchcock
929.0,Alfred Hitchcock
930.0,Alfred Hitchcock
931.0,Alfred Hitchcock
932.0,Leo McCarey
933.0,Alfred Hitchcock
934.0,Vincente Minnelli
935.0,Vincente Minnelli
936.0,Ernst Lubitsch
937.0,Billy Wilder
938.0,Vincente Minnelli
940.0,Michael Curtiz
941.0,Rouben Mamoulian
942.0,Otto Preminger
943.0,Joseph L. Mankiewicz
944.0,Frank Capra
945.0,Mark Sandrich
946.0,Ernst Lubitsch
947.0,Gregory La Cava
948.0,George Stevens
949.0,Elia Kazan
950.0,W.S. Van Dyke
951.0,Howard Hawks
952.0,Michael Anderson
953.0,Frank Capra
954.0,Frank Capra
955.0,Howard Hawks
956.0,George Stevens
959.0,John Cromwell
961.0,John Cromwell
963.0,Henry Koster
965.0,Alfred Hitchcock
968.0,George A. Romero
969.0,John Huston
970.0,John Huston
971.0,Richard Brooks
973.0,Frank Capra
976.0,Frank Borzage
979.0,Thaddeus O'Sullivan
981.0,Darrell Roodt
982.0,Joshua Logan
984.0,Richard Schenkman
986.0,Carroll Ballard
987.0,Lance Young
988.0,Allison Anders
990.0,Ringo Lam
991.0,Neil Jordan
993.0,Matthew Broderick
994.0,Campbell Scott
996.0,Walter Hill
998.0,F. Gary Gray
999.0,John Herzfeld
1003.0,Michael Apted
1004.0,John Gray
1005.0,Robert Lieberman
1006.0,James Foley
1007.0,Norman Tokar
1008.0,Norman Foster
1009.0,John Hough
1010.0,Robert Stevenson
1011.0,Robert Stevenson
1012.0,Robert Stevenson
1013.0,David Swift
1014.0,David Swift
1015.0,Duwayne Dunham
1016.0,Charles Barton
