MOVID,director
117630.0,John Paragon
117646.0,Doug Lefler
117849.0,Coline Serreau
117851.0,Eric Darnell
117867.0,Yann Demange
117877.0,Antoine Delesvaux
117881.0,Richard Glatzer
117887.0,Paul King
117895.0,Wes Ball
117922.0,Karen Disher
118082.0,Marjane Satrapi
118166.0,Karen Shakhnazarov
118198.0,Nadav Schirman
118248.0,Paul Schrader
118270.0,J.T. Petty
118290.0,Albert Pyun
118326.0,James Mottern
118354.0,Michael Cuesta
118512.0,Steve Rash
118530.0,Neri Parenti
118572.0,Tony Mahony
118696.0,Peter Jackson
118700.0,Ava DuVernay
118702.0,Angelina Jolie
118706.0,Kevin Macdonald
118784.0,Ralf Christensen
118814.0,Justin Reardon
118834.0,Mort Nathan
118862.0,Nae Caranfil
118880.0,Ana Lily Amirpour
118888.0,Stan Lathan
118894.0,Spike Brandt
118896.0,Xavier Dolan
118900.0,Jean-Marc Vallée
118924.0,Chris Rock
118930.0,Jay Karas
118985.0,Tim Burton
118997.0,Rob Marshall
119068.0,Jason Reitman
119141.0,Evan Goldberg
119145.0,Matthew Vaughn
119153.0,Jay Karas
119155.0,Shawn Levy
119167.0,Brenton Spencer
119218.0,Phil Joanou
119655.0,Sergei Bodrov
119714.0,David Storey
119828.0,Sergio Martino
119964.0,Tristram Shapeero
120130.0,Takahiro Ômori
120138.0,Rajkumar Hirani
120466.0,Neill Blomkamp
120478.0,Juliano Ribeiro Salgado
120625.0,Yuriy Bykov
120635.0,Olivier Megaton
120637.0,Michael Mann
120761.0,Lev Kuleshov
120783.0,Julius Avery
120799.0,Alan Taylor
120807.0,Ryan Polito
120813.0,Jason Woliner
120827.0,Brian Mills
120919.0,Jin Jang
121007.0,Robert Vince
121097.0,Jeff Franklin
121099.0,Jim Kammerud
121129.0,Josh Stolberg
121169.0,Peter Strickland
121171.0,Gabe Polsky
121231.0,David Robert Mitchell
121253.0,Alfonso Gomez-Rejon
121338.0,Gerald Thomas
121342.0,Gerald Thomas
121372.0,Shannon Hartman
121374.0,Shannon Hartman
121469.0,Jeff Fisher
121715.0,Manny Rodriguez
121781.0,Audu Paden
122092.0,Saul Metzstein
122246.0,Alex Zamm
122433.0,Freddie Francis
122490.0,Mark Young
122627.0,Sam Irvin
122882.0,George Miller
122884.0,Leigh Whannell
122886.0,J.J. Abrams
122888.0,Timur Bekmambetov
122890.0,Duncan Jones
122892.0,Joss Whedon
122896.0,Joachim Rønning
122898.0,Zack Snyder
122900.0,Peyton Reed
122902.0,Josh Trank
122904.0,Tim Miller
122906.0,Ryan Coogler
122912.0,Anthony Russo
122916.0,Taika Waititi
122918.0,James Gunn
122920.0,Anthony Russo
122922.0,Scott Derrickson
122924.0,Bryan Singer
122926.0,Jon Watts
122932.0,Michael Radford
123200.0,John Moffitt
123310.0,Noel Nosseck
123545.0,Frank Launder
123553.0,Uwe Boll
123947.0,Daniel Barnz
124273.0,Joey Figueroa
124404.0,Andrés G. Schaer
124484.0,Don Coscarelli
124851.0,Rodrigo García
124853.0,Saul Bass
124859.0,Rupert Wyatt
125221.0,Edward Nassour
125914.0,David Koepp
125916.0,Sam Taylor-Johnson
125970.0,Duwayne Dunham
125974.0,Mark A.Z. Dippé
126088.0,Joanna Romersa
126090.0,Yuri Norstein
126142.0,Lamberto Bava
126420.0,Sarik Andreasyan
126426.0,Lidiya Ishimbaeva
126482.0,Gary Rydstrom
126548.0,Ari Sandel
126577.0,Joan Espinach
126921.0,Jim Kammerud
127052.0,Leonid Gaidai
127096.0,Dean Israelite
127098.0,Louis C.K.
127108.0,John Crowley
127114.0,James Ponsoldt
127116.0,Michael Almereyda
127130.0,Noah Baumbach
127132.0,Mora Stephens
127134.0,Ken Kwapis
127136.0,Rupert Goold
127146.0,Brett Morgen
127152.0,Alex Gibney
127164.0,Liz Garbus
127172.0,Mark Cousins
127184.0,Mia Hansen-Løve
127194.0,Andrew Mogel
127198.0,Rick Famuyiwa
127202.0,Alfonso Gomez-Rejon
127204.0,Patrick Brice
127212.0,Kyle Patrick Alvarez
127298.0,Roy Andersson
127319.0,Erik Van Looy
127323.0,Brian A. Miller
127390.0,Dominic Polcino
128087.0,Mario Siciliano
128089.0,Shannon Hartman
128097.0,Shannon Hartman
128099.0,Shannon Hartman
128197.0,Martin Davidson
128360.0,Quentin Tarantino
128366.0,Bobcat Goldthwait
128488.0,Simon West
128512.0,Jake Schreier
128520.0,Jeremy Garelick
128542.0,Kiah Roache-Turner
128592.0,Rob Cohen
128594.0,Eric Schaeffer
128620.0,Sebastian Schipper
128695.0,Andreas Prochaska
128736.0,Spike Jonze
128832.0,Richard LaGravenese
128838.0,Guillermo del Toro
128842.0,Colin Teague
128852.0,Keith Truesdell
128900.0,Heddy Honigmann
128902.0,Noël Burch
128908.0,Thom Fitzgerald
128914.0,Jay Chapman
128944.0,Dean Cundey
128968.0,Tony Craig
128975.0,Steve Pink
128991.0,Kyungmin Woo
129011.0,Peter Richardson
129229.0,Claudio Fäh
129250.0,Jason Friedberg
129313.0,Quentin Dupieux
129333.0,Matthew A. Brown
129354.0,Glenn Ficarra
129397.0,Louis D'Esposito
129428.0,John Madden
129514.0,Rocco Urbisci
129657.0,Daniel Benmayor
129659.0,Niki Caro
129737.0,Ken Scott
129779.0,Masahiko Murata
129937.0,Jaume Collet-Serra
130050.0,Adam Green
130052.0,Jon Watts
130073.0,Kenneth Branagh
130083.0,Daniel Alfredson
130087.0,Tom McCarthy
130444.0,Felix Fuchssteiner
130450.0,Joe Wright
130452.0,Noah Baumbach
130482.0,Byron Haskin
130490.0,Robert Schwentke
130498.0,Thomas Gilou
130518.0,Chris Prynoski
130520.0,Tim Johnson
130576.0,Jeff Nichols
130578.0,Pierre Morel
130634.0,James Wan
130686.0,Todd Strauss-Schulson
130840.0,Justin Benson
130842.0,Joseph Kahn
130970.0,Rocco Urbisci
130976.0,Nikolay Lebedev
130978.0,Vladimir Menshov
131013.0,Etan Cohen
131023.0,Damon Gameau
131098.0,Leon Joosen
131104.0,Gérard Oury
131130.0,Spike Brandt
131237.0,Dmitriy Dyachenko
131439.0,Kriv Stenders
131480.0,Greg Francis
131578.0,Yahoo Serious
131610.0,Paul Schneider
131656.0,Mark Burton
131714.0,Kazuaki Kiriya
131739.0,Jay Oliva
131749.0,Benjamin Guedj
131796.0,Simon Curtis
131826.0,Samuel Brownfield
131920.0,Gren Wells
131934.0,David Wechter
132046.0,Brad Bird
132084.0,Eleanor Bergstein
132153.0,Joel Potrykus
132157.0,Andy Fickman
132333.0,John-Paul Davidson
132335.0,Mélanie Laurent
132362.0,Mamoru Oshii
132422.0,Spike Lee
132424.0,George Tillman Jr.
132454.0,Alexandra Kondracke
132462.0,Jim Weedon
132488.0,Luke Matheny
132496.0,Dan Fogelman
132584.0,Sean McNamara
132618.0,Ralph Ziman
132660.0,Ben Palmer
132796.0,Brad Peyton
132800.0,Shira Piven
