MOVID,director
3040.0,Ivan Reitman
3041.0,Ken Wiederhorn
3042.0,George Mendeluk
3043.0,Bob Logan
3044.0,Kenneth Branagh
3045.0,Kenneth Branagh
3046.0,Maria Maggenti
3048.0,Steve Rash
3051.0,Wayne Wang
3052.0,Kevin Smith
3053.0,Luc Besson
3054.0,Kunihiko Yuyama
3055.0,Atom Egoyan
3056.0,Richard Shepard
3057.0,Daniel Pyne
3060.0,Alan Parker
3061.0,Mark Sandrich
3062.0,Ken Annakin
3063.0,Katt Shea
3064.0,Kurt Voss
3066.0,Richard Fleischer
3067.0,Pedro Almodóvar
3068.0,Sidney Lumet
3070.0,W.D. Richter
3071.0,Ramón Menéndez
3072.0,Norman Jewison
3073.0,Vincente Minnelli
3074.0,Sydney Pollack
3075.0,Roman Polanski
3076.0,Billy Wilder
3077.0,Michael Apted
3078.0,Barry Levinson
3079.0,Patricia Rozema
3081.0,Tim Burton
3082.0,Michael Apted
3083.0,Pedro Almodóvar
3086.0,Gus Meins
3087.0,Richard Donner
3088.0,Henry Koster
3089.0,Vittorio De Sica
3090.0,John Sayles
3091.0,Akira Kurosawa
3093.0,Robert Altman
3094.0,James Ivory
3095.0,John Ford
3096.0,Henry Koster
3097.0,Ernst Lubitsch
3098.0,Barry Levinson
3099.0,Hal Ashby
3100.0,Robert Redford
3101.0,Adrian Lyne
3102.0,Richard Marquand
3103.0,Martin Ritt
3104.0,Martin Brest
3105.0,Penny Marshall
3106.0,Alan Parker
3107.0,Ron Howard
3108.0,Terry Gilliam
3109.0,Mark Rydell
3111.0,Robert Benton
3112.0,Tom Moore
3113.0,Peter Hyams
3114.0,John Lasseter
3115.0,Joel Schumacher
3117.0,Ang Lee
3120.0,Jonathan Lynn
3125.0,Neil Jordan
3127.0,Jane Campion
3129.0,Woody Allen
3130.0,Brian De Palma
3132.0,Marshall Neilan
3134.0,Jean Renoir
3135.0,Lewis John Carlino
3138.0,Steven Kampmann
3141.0,Jack Nicholson
3142.0,Phil Joanou
3143.0,John Boorman
3145.0,Tim Robbins
3146.0,Mike Mitchell
3147.0,Frank Darabont
3148.0,Lasse Hallström
3150.0,Tim Roth
3152.0,Peter Bogdanovich
3153.0,Nathan Juran
3155.0,Andy Tennant
3156.0,Chris Columbus
3157.0,Rob Minkoff
3158.0,Kaige Chen
3159.0,James Algar
3160.0,Paul Thomas Anderson
3161.0,Martha Fiennes
3162.0,Matthew Warchus
3163.0,Mike Leigh
3165.0,James B. Harris
3167.0,Mike Nichols
3168.0,Dennis Hopper
3169.0,John Schlesinger
3171.0,Jack Clayton
3173.0,Oliver Stone
3174.0,Milos Forman
3175.0,Dean Parisot
3176.0,Anthony Minghella
3177.0,Steve Carr
3178.0,Norman Jewison
3179.0,Alan Parker
3181.0,Julie Taymor
3182.0,Errol Morris
3183.0,Agnieszka Holland
3185.0,Scott Hicks
3186.0,James Mangold
3189.0,Jay Russell
3190.0,Walter Hill
3192.0,Santosh Sivan
3194.0,Sydney Pollack
3196.0,Billy Wilder
3197.0,Peter Hyams
3198.0,Franklin J. Schaffner
3200.0,Hal Ashby
3201.0,Bob Rafelson
3203.0,Phillip Noyce
3204.0,Franklin J. Schaffner
3206.0,Taylor Hackford
3208.0,Gene Quintano
3210.0,Amy Heckerling
3211.0,Fred Schepisi
3213.0,Kevin Altieri
3214.0,John Badham
3217.0,William A. Wellman
3219.0,John Schlesinger
3221.0,Peter Greenaway
3223.0,Peter Greenaway
