MOVID,director
3834.0,Clint Eastwood
3835.0,Alan Shapiro
3836.0,Brian G. Hutton
3837.0,Don Coscarelli
3838.0,Don Coscarelli
3839.0,Don Coscarelli
3840.0,Stan Winston
3841.0,Roger Spottiswoode
3843.0,Robert Hiltzik
3844.0,Herbert Ross
3845.0,Roger Vadim
3846.0,James Signorelli
3847.0,Don Edmonds
3849.0,Robert Siodmak
3851.0,Lionel Coleman
3852.0,Jenniphr Goodman
3855.0,Frédéric Fonteyne
3857.0,Chuck Russell
3858.0,John Waters
3859.0,Fenton Bailey
3861.0,Howard Deutch
3862.0,Gerard Stembridge
3863.0,Tarsem Singh
3864.0,Takao Okawara
3865.0,Spike Lee
3868.0,David Zucker
3869.0,David Zucker
3870.0,Sam Wood
3871.0,George Stevens
3872.0,Joseph L. Mankiewicz
3873.0,Elliot Silverstein
3877.0,Jeannot Szwarc
3879.0,Christian Duguay
3882.0,Peyton Reed
3884.0,Michael Dinner
3888.0,Tamra Davis
3889.0,Douglas Aarniokoski
3893.0,Neil LaBute
3894.0,Benito Zambrano
3895.0,Joe Charbanic
3896.0,Christopher McQuarrie
3897.0,Cameron Crowe
3898.0,Antoine Fuqua
3899.0,Rob Walker
3900.0,Rob Schmidt
3901.0,Bruce Paltrow
3906.0,Stephen Hopkins
3908.0,John Ottman
3909.0,Fina Torres
3910.0,Lars von Trier
3911.0,Christopher Guest
3912.0,Sally Field
3914.0,Greg Berlanti
3915.0,Karyn Kusama
3916.0,Boaz Yakin
3917.0,Clive Barker
3918.0,Tony Randel
3919.0,Anthony Hickox
3920.0,Wim Wenders
3922.0,William Asher
3925.0,Jim Jarmusch
3926.0,Irwin Allen
3927.0,Richard Fleischer
3928.0,Charles Barton
3929.0,Edward F. Cline
3930.0,Jack Arnold
3932.0,James Whale
3933.0,Ray Kellogg
3937.0,Michael Crichton
3938.0,Amy Holden Jones
3939.0,Deborah Navarra-Brock
3940.0,Sally Mattison
3941.0,Carol Frank
3942.0,Jim Wynorski
3943.0,Spike Lee
3945.0,Bob Buchholz
3946.0,Stephen Kay
3947.0,Mike Hodges
3948.0,Jay Roach
3949.0,Darren Aronofsky
3950.0,Joel Schumacher
3951.0,Raymond De Felitta
3952.0,Rod Lurie
3953.0,Robert Altman
3955.0,Reginald Hudlin
3957.0,Tom Laughlin
3958.0,Tom Laughlin
3959.0,George Pal
3962.0,Albert Band
3963.0,Charles Walters
3964.0,James Algar
3965.0,Lewis Milestone
3966.0,Edgar G. Ulmer
3967.0,Stephen Daldry
3968.0,Harold Ramis
3969.0,Mimi Leder
3971.0,Lang Elliott
3972.0,Chia-Liang Liu
3973.0,Joe Berlinger
3974.0,Uli Edel
3977.0,McG
3978.0,Robert Redford
3979.0,Steven Brill
3980.0,George Tillman Jr.
3981.0,Antony Hoffman
3983.0,Kenneth Lonergan
3984.0,Guy Hamilton
3985.0,John Sturges
3986.0,Roger Spottiswoode
3987.0,Don Roos
3988.0,Ron Howard
3989.0,Kevin Macdonald
3990.0,Stig Bergqvist
3991.0,Kevin Lima
3992.0,Giuseppe Tornatore
3993.0,Philip Kaufman
3994.0,M. Night Shyamalan
3996.0,Ang Lee
3997.0,Courtney Solomon
3998.0,Taylor Hackford
3999.0,Martin Campbell
4000.0,Roger Donaldson
4002.0,John Hughes
4003.0,John Hughes
4005.0,John Glen
4006.0,Nelson Shin
4007.0,Oliver Stone
4008.0,Oliver Stone
4009.0,Oliver Stone
4010.0,Walter Hill
4011.0,Guy Ritchie
4012.0,David Seltzer
4014.0,Lasse Hallström
4015.0,Danny Leiner
4016.0,Mark Dindal
4017.0,Ed Harris
4018.0,Nancy Meyers
4019.0,Gus Van Sant
4020.0,Sam Raimi
4021.0,Julian Schnabel
4022.0,Robert Zemeckis
4023.0,Brett Ratner
4024.0,Terence Davies
4025.0,Donald Petrie
4027.0,Joel Coen
4029.0,David Mamet
4030.0,Patrick Lussier
4031.0,Billy Bob Thornton
4032.0,Barry Levinson
4033.0,Roger Donaldson
4034.0,Steven Soderbergh
4035.0,Michael Winterbottom
4036.0,E. Elias Merhige
4037.0,David Mamet
4039.0,John Huston
4040.0,Stephen Herek
4041.0,Taylor Hackford
4042.0,John Wayne
4043.0,James Foley
4046.0,William Wyler
4047.0,Ron Maxwell
4051.0,Fritz Böttger
4052.0,Peter Howitt
4053.0,George Gallo
4054.0,Thomas Carter
4055.0,Henry Bromell
4056.0,Sean Penn
4061.0,Robert Mulligan
4062.0,Donald Petrie
4063.0,Norman René
4064.0,Jack Hill
4065.0,Jack Hill
4066.0,Keenen Ivory Wayans
4067.0,Tony Bill
4068.0,Francine McDougall
4069.0,Adam Shankman
4074.0,Volker Schlöndorff
4077.0,Dominik Moll
4078.0,Mike Newell
4079.0,Joe Dante
4080.0,Charles Shyer
4081.0,Lyndall Hobbs
4082.0,Barbet Schroeder
4083.0,John Flynn
4084.0,Tony Scott
4085.0,Martin Brest
4086.0,Jim McBride
4089.0,Cheech Marin
4090.0,Jerry Rees
4091.0,Steve Rash
4092.0,Steve De Jarnatt
4093.0,James B. Harris
4102.0,Robert Townsend
4103.0,Steven Spielberg
4104.0,John R. Cherry III
4105.0,Sam Raimi
4109.0,Jeffrey Bloom
4110.0,John Mackenzie
4111.0,Francis Ford Coppola
4113.0,Paul Newman
4115.0,Bob Giraldi
4116.0,Robert Townsend
4117.0,John Boorman
4121.0,Joe Dante
4123.0,Elaine May
4124.0,Joseph Sargent
4125.0,Paul Weiland
4126.0,Marek Kanievska
4127.0,Rod Daniel
4128.0,Joel Schumacher
4129.0,Alan Rudolph
4130.0,Amy Holden Jones
4131.0,Susan Seidelman
4132.0,Michael Gottlieb
4133.0,Gary Goddard
4135.0,Fred Dekker
4138.0,Charlie Loventhal
4139.0,Peter Werner
4141.0,Mark Waters
4142.0,Vic Sarin
4143.0,Jamie Blanks
4144.0,Kar-Wai Wong
4146.0,Wim Wenders
4147.0,Cesc Gay
4148.0,Ridley Scott
4149.0,Dennis Dugan
4152.0,Roland Joffé
