MOVID,director
1.0,John Lasseter
2.0,Joe Johnston
3.0,Howard Deutch
4.0,Forest Whitaker
5.0,Charles Shyer
6.0,Michael Mann
7.0,Sydney Pollack
8.0,Peter Hewitt
9.0,Peter Hyams
10.0,Martin Campbell
11.0,Rob Reiner
12.0,Mel Brooks
13.0,Simon Wells
14.0,Oliver Stone
15.0,Renny Harlin
16.0,Martin Scorsese
17.0,Ang Lee
18.0,Allison Anders
19.0,Steve Oedekerk
20.0,Joseph Ruben
21.0,Barry Sonnenfeld
22.0,Jon Amiel
23.0,Richard Donner
24.0,Victor Salva
25.0,Mike Figgis
26.0,Oliver Parker
27.0,Lesli Linka Glatter
28.0,Roger Michell
29.0,Marc Caro
30.0,Yimou Zhang
31.0,John N. Smith
32.0,Terry Gilliam
34.0,Chris Noonan
36.0,Tim Robbins
38.0,Andy Tennant
39.0,Amy Heckerling
40.0,Darrell Roodt
41.0,Richard Loncraine
42.0,Albert Hughes
43.0,Michael Hoffman
44.0,Paul W.S. Anderson
45.0,Gus Van Sant
46.0,Jocelyn Moorhouse
47.0,David Fincher
48.0,Mike Gabriel
49.0,Patricia Rozema
50.0,Bryan Singer
52.0,Woody Allen
53.0,Gianni Amelio
54.0,Holly Goldberg Sloan
55.0,Ulu Grosbard
57.0,Jodie Foster
58.0,Michael Radford
60.0,Frank Oz
61.0,John Schlesinger
62.0,Stephen Herek
63.0,Paris Barclay
64.0,Bill Bennett
65.0,Jason Bloom
66.0,Farhad Mann
68.0,Josiane Balasko
69.0,F. Gary Gray
70.0,Robert Rodriguez
71.0,Andrew Sipes
72.0,Noah Baumbach
73.0,Claude Lelouch
74.0,Michael Goldenberg
75.0,Steve Miner
76.0,Christian Duguay
77.0,Susanne Ofteringer
78.0,Sean Penn
79.0,Brian Gibson
80.0,Jafar Panahi
81.0,Gary Fleder
82.0,Marleen Gorris
83.0,Tim Reid
85.0,Philip Haas
86.0,Ridley Scott
87.0,Ken Kwapis
88.0,Penelope Spheeris
89.0,John Badham
92.0,Stephen Frears
93.0,Wes Craven
94.0,Ted Demme
95.0,John Woo
96.0,Kenneth Branagh
97.0,Mathieu Kassovitz
99.0,Nick Broomfield
100.0,Harold Becker
101.0,Wes Anderson
102.0,Nick Castle
103.0,John Dahl
104.0,Dennis Dugan
105.0,Clint Eastwood
106.0,Doris Dörrie
107.0,Brian Henson
108.0,Robert Leacock
110.0,Mel Gibson
111.0,Martin Scorsese
112.0,Stanley Tong
113.0,Barbet Schroeder
116.0,Jon Blair
117.0,Benjamin Ross
118.0,Eric Schaeffer
119.0,Andrew Davis
121.0,John N. Smith
122.0,Reginald Hudlin
123.0,Kar-Wai Wong
125.0,David O. Russell
126.0,Peter MacDonald
128.0,Michel Negroponte
129.0,Bryan Gordon
132.0,William Friedkin
135.0,David S. Ward
137.0,Dirk Shafer
140.0,Jon Avnet
141.0,Mike Nichols
144.0,Edward Burns
145.0,Michael Bay
146.0,Christopher Cain
147.0,Scott Kalvert
148.0,Mike Newell
149.0,Hal Hartley
150.0,Ron Howard
151.0,Michael Caton-Jones
152.0,Abel Ferrara
153.0,Joel Schumacher
154.0,Luis Buñuel
155.0,John Boorman
156.0,Paul Auster
157.0,Michael Moore
158.0,Brad Silberling
159.0,Spike Lee
160.0,Frank Marshall
161.0,Tony Scott
162.0,Terry Zwigoff
163.0,Robert Rodriguez
164.0,Carl Franklin
165.0,John McTiernan
166.0,Gregg Araki
168.0,Jerry Zucker
169.0,Dwight H. Little
170.0,Iain Softley
171.0,Christopher Ashley
172.0,Robert Longo
173.0,Danny Cannon
174.0,John Fortenberry
175.0,Larry Clark
176.0,Tom DiCillo
177.0,Clive Barker
178.0,Denys Arcand
179.0,Antonia Bird
180.0,Kevin Smith
181.0,Bryan Spicer
183.0,Anthony Waller
184.0,Michael Almereyda
185.0,Irwin Winkler
186.0,Chris Columbus
187.0,Daisy von Scherler Mayer
188.0,Gregory Widen
189.0,Norman René
190.0,Todd Haynes
191.0,Roland Joffé
193.0,Paul Verhoeven
194.0,Wayne Wang
195.0,Lasse Hallström
196.0,Roger Donaldson
198.0,Kathryn Bigelow
199.0,Jacques Demy
201.0,Martha Coolidge
202.0,Agnieszka Holland
203.0,Beeban Kidron
204.0,Geoff Murphy
205.0,Diane Keaton
206.0,Douglas Keeve
207.0,Alfonso Arau
208.0,Kevin Reynolds
209.0,Desmond Nakano
210.0,Walter Hill
211.0,Mike Figgis
212.0,Greg Beeman
213.0,Nikita Mikhalkov
214.0,Milcho Manchevski
215.0,Richard Linklater
216.0,Tamra Davis
217.0,Guy Ferland
218.0,Herbert Ross
219.0,Peter Horton
220.0,Stuart Gordon
222.0,Pat O'Connor
223.0,Kevin Smith
224.0,Jeremy Leven
225.0,Barry Levinson
227.0,John Badham
228.0,Jack Baran
229.0,Roman Polanski
230.0,Taylor Hackford
231.0,Peter Farrelly
232.0,Ang Lee
233.0,Atom Egoyan
234.0,Garry Marshall
235.0,Tim Burton
236.0,Lawrence Kasdan
237.0,Billy Crystal
238.0,Phillip Borsos
239.0,Kevin Lima
240.0,Brett Leonard
241.0,Carlo Carlei
242.0,Gérard Corbiau
243.0,Mark Lewis
246.0,Steve James
247.0,Peter Jackson
248.0,Randall Miller
249.0,Bernard Rose
250.0,Steven Brill
251.0,J.F. Lawton
252.0,Fred Schepisi
253.0,Neil Jordan
254.0,James Ivory
255.0,James Melkonian
256.0,Ivan Reitman
257.0,Arne Glimcher
258.0,Michael Gottlieb
259.0,Barbet Schroeder
260.0,George Lucas
261.0,Gillian Armstrong
262.0,Alfonso Cuarón
263.0,Ken Loach
265.0,Alfonso Arau
266.0,Edward Zwick
267.0,Nick Castle
269.0,Allison Anders
270.0,Glenn Gordon Caron
271.0,Stephen Gyllenhaal
272.0,Nicholas Hytner
273.0,Kenneth Branagh
274.0,James Orr
275.0,Nora Ephron
276.0,Richard Benjamin
277.0,Les Mayfield
278.0,David Frankel
279.0,Gregory Nava
280.0,Marc Rocco
281.0,Robert Benton
282.0,Michael Apted
283.0,Nick Gomez
284.0,Tôru Murakawa
285.0,Vadim Jean
287.0,Alan Jacobs
288.0,Oliver Stone
289.0,Norman Jewison
290.0,Lee Tamahori
291.0,Anne Goursaud
292.0,Wolfgang Petersen
293.0,Luc Besson
294.0,Mira Nair
295.0,Joshua Brand
296.0,Quentin Tarantino
298.0,Ang Lee
299.0,Antonia Bird
300.0,Robert Redford
301.0,Kayo Hatta
302.0,Patrice Chéreau
303.0,Sam Raimi
304.0,Peter Yates
305.0,Robert Altman
306.0,Krzysztof Kieslowski
307.0,Krzysztof Kieslowski
308.0,Krzysztof Kieslowski
310.0,Fred Gerber
311.0,George Mihalka
312.0,Harold Ramis
313.0,Richard Rich
314.0,John Sayles
315.0,Luis Llosa
316.0,Roland Emmerich
317.0,John Pasquin
318.0,Frank Darabont
319.0,Danny Boyle
320.0,Scott McGehee
321.0,Tomás Gutiérrez Alea
322.0,George Huang
324.0,Geoff Burton
325.0,Kelly Makin
326.0,Yimou Zhang
327.0,Rachel Talalay
328.0,Ernest R. Dickerson
329.0,David Carson
330.0,Rusty Cundieff
331.0,Brian Gilbert
332.0,John Carpenter
333.0,Peter Segal
334.0,Louis Malle
335.0,Steven Soderbergh
336.0,Preston A. Whitmore II
337.0,Lasse Hallström
338.0,Brett Leonard
339.0,Jon Turteltaub
340.0,Jon Avnet
341.0,Mina Shum
342.0,P.J. Hogan
343.0,Melanie Mayron
