movieId,imdbId,tmdbId
3834,80472,21866.0
3835,106627,33408.0
3836,65938,11589.0
3837,95863,15158.0
3838,110823,16139.0
3839,138703,16146.0
3840,95925,26515.0
3841,99005,11856.0
3843,86320,13567.0
3844,98384,10860.0
3845,49189,8420.0
3846,85470,18391.0
3847,71650,20850.0
3849,38975,27452.0
3851,251739,38548.0
3852,234853,20438.0
3855,204709,46991.0
3857,163983,10391.0
3858,173716,14195.0
3859,233687,15665.0
3861,191397,10393.0
3862,199314,18168.0
3863,209958,8843.0
3864,188640,10643.0
3865,236388,23618.0
3868,95705,37136.0
3869,102510,37137.0
3870,32881,23283.0
3871,46303,3110.0
3872,53318,14698.0
3873,59017,11694.0
3877,88206,9651.0
3879,160009,11398.0
3882,204946,1588.0
3884,198386,19150.0
3888,209322,41282.0
3889,144964,12211.0
3893,171580,10480.0
3894,190798,80713.0
3895,204626,10685.0
3896,202677,1619.0
3897,181875,786.0
3898,211938,14805.0
3899,191037,51179.0
3900,197384,46119.0
3901,134630,18074.0
3906,164212,10562.0
3908,192731,12212.0
3909,206420,14629.0
3910,168629,16.0
3911,218839,13785.0
3912,210567,34299.0
3914,222850,22597.0
3915,210075,19348.0
3916,210945,10637.0
3917,93177,9003.0
3918,95294,9064.0
3919,104409,11569.0
3920,107209,10434.0
3922,57887,39113.0
3925,88184,469.0
3926,55608,2160.0
3927,60397,2161.0
3928,40068,3073.0
3929,32234,911.0
3930,46876,10973.0
3932,24184,10787.0
3933,52969,43109.0
3937,88024,9507.0
3938,84695,27475.0
3939,93996,27764.0
3940,100639,27767.0
3941,91990,40760.0
3942,100663,40446.0
3943,215545,24664.0
3945,259974,20455.0
3946,208988,10461.0
3947,67128,1485.0
3948,212338,1597.0
3949,180093,641.0
3950,170691,10687.0
3951,202641,63956.0
3952,208874,6521.0
3953,205271,10763.0
3955,213790,16888.0
3957,66832,21142.0
3958,75754,78140.0
3959,54387,2134.0
3962,93091,28605.0
3963,58708,42797.0
3964,41094,13465.0
3965,38988,27033.0
3966,37638,20367.0
3967,249462,71.0
3968,230030,1636.0
3969,223897,10647.0
3971,81376,13762.0
3972,111512,12207.0
3973,229260,11531.0
3974,192255,24100.0
3977,160127,4327.0
3978,146984,4958.0
3979,185431,9678.0
3980,203019,11978.0
3981,199753,8870.0
3983,203230,14295.0
3984,66995,681.0
3985,74452,11372.0
3986,216216,8452.0
3987,186894,10862.0
3988,170016,8871.0
3989,230591,34045.0
3990,213203,16340.0
3991,211181,10481.0
3992,213847,10867.0
3993,180073,10876.0
3994,217869,9741.0
3996,190332,146.0
3997,190374,11849.0
3998,228750,11983.0
3999,190865,11678.0
4000,86993,2669.0
4002,93748,2609.0
4003,96094,12714.0
4005,93428,708.0
4006,92106,1857.0
4007,94291,10673.0
4008,96969,2604.0
4009,96219,10132.0
4010,88850,11064.0
4011,208092,107.0
4012,95927,40820.0
4014,241303,392.0
4015,242423,8859.0
4016,120917,11688.0
4017,183659,12509.0
4018,207201,3981.0
4019,181536,711.0
4020,219699,2046.0
4021,247196,5001.0
4022,162222,8358.0
4023,218967,5994.0
4024,200720,25520.0
4025,212346,1493.0
4027,190590,134.0
4029,120202,21991.0
4030,219653,10577.0
4031,149624,21355.0
4032,218182,29122.0
4033,146309,11973.0
4034,181865,1900.0
4035,218378,44853.0
4036,189998,10873.0
4037,93223,26719.0
4039,83564,15739.0
4040,101757,15413.0
4041,84434,2623.0
4042,53580,11209.0
4043,90670,13715.0
4046,49233,43258.0
4047,107007,10655.0
4051,56600,
4052,218817,9989.0
4053,238948,18828.0
4054,206275,9816.0
4055,194218,20637.0
4056,237572,5955.0
4061,102388,17474.0
4062,95690,11191.0
4063,105165,2613.0
4064,69897,22021.0
4065,71517,22048.0
4066,95348,17006.0
4067,108451,26333.0
4068,186589,16723.0
4069,209475,2018.0
4074,234805,10499.0
4077,216800,47943.0
4078,92545,74340.0
4079,92546,5709.0
4080,92605,11215.0
4081,92608,26477.0
4082,92618,10937.0
4083,92641,4639.0
4084,92644,96.0
4085,86960,90.0
4086,92654,11028.0
4089,92690,19324.0
4090,92695,19933.0
4091,92718,12919.0
4092,92746,15785.0
4093,92783,31701.0
4102,92948,17159.0
4103,92965,10110.0
4104,92974,18935.0
4105,83907,764.0
4109,93036,15658.0
4110,93044,4918.0
4111,93073,28368.0
4113,93093,52780.0
4115,93186,26156.0
4116,93200,34101.0
4117,93209,32054.0
4121,93260,2614.0
4123,93278,12704.0
4124,93300,580.0
4125,93405,24828.0
4126,93407,13703.0
4127,93418,36914.0
4128,93437,1547.0
4129,93467,42010.0
4130,93476,2608.0
4131,93477,32058.0
4132,93493,10019.0
4133,93507,11649.0
4135,93560,13509.0
4138,93589,51521.0
4139,93638,34379.0
4141,192111,24940.0
4142,190524,37302.0
4143,242998,10984.0
4144,118694,843.0
4146,120753,318.0
4147,250478,12806.0
4148,212985,9740.0
4149,239948,10878.0
4152,190861,7093.0
4153,231775,16300.0
4154,265632,19405.0
4155,230838,1921.0
4156,177650,44412.0
4157,249893,21620.0
4158,166276,23685.0
4159,233142,12138.0
4160,191636,48217.0
4161,236493,6073.0
4164,182000,25208.0
4166,251031,19513.0
4167,179626,2749.0
4168,192071,10050.0
4171,236447,95682.0
4174,99073,2302.0
4175,116447,32686.0
4178,31742,51802.0
4180,91836,29492.0
4181,96223,25447.0
4184,39190,19490.0
4187,57251,38805.0
4189,59245,2428.0
4190,53793,22013.0
4191,60086,15598.0
4193,113026,62127.0
4194,37800,56137.0
4195,66740,17965.0
4197,79781,33250.0
4198,80421,14460.0
4200,101764,9594.0
4202,68617,4986.0
4203,102005,2453.0
4204,85868,33676.0
4205,100140,4587.0
4207,100232,12773.0
4210,91474,11454.0
4211,100486,38718.0
4212,77413,4192.0
4214,88000,14052.0
4215,93857,16889.0
4217,118540,26580.0
