movieId,imdbId,tmdbId
6811,110759,14425.0
6812,100514,6723.0
6814,87062,16969.0
6816,94138,13339.0
6817,100928,28761.0
6818,91251,25237.0
6820,210070,9871.0
6821,79576,33258.0
6827,110169,33783.0
6832,102768,11364.0
6835,82000,39916.0
6836,53593,31634.0
6837,31593,43739.0
6849,66344,13765.0
6850,104695,12772.0
6851,104321,47866.0
6852,61809,18900.0
6853,92717,73265.0
6856,35575,3087.0
6857,107692,14282.0
6858,56291,11502.0
6860,102460,21219.0
6862,313443,2116.0
6863,332379,1584.0
6867,340377,2056.0
6868,335563,4997.0
6869,340468,8439.0
6870,327056,322.0
6872,317676,11059.0
6873,138524,11775.0
6874,266697,24.0
6879,313542,11329.0
6880,324216,9373.0
6881,311648,1550.0
6882,339579,5493.0
6883,325055,28200.0
6884,312549,10629.0
6885,199626,10944.0
6886,294357,9839.0
6887,316465,13920.0
6888,306047,4256.0
6889,328880,10009.0
6890,363589,1807.0
6893,64505,10536.0
6898,313670,1376.0
6899,92532,31397.0
6902,165832,20312.0
6909,325655,10389.0
6911,38661,31206.0
6912,34409,28658.0
6918,48956,897.0
6920,65531,11657.0
6927,308383,10922.0
6932,323944,13537.0
6934,242653,605.0
6935,363510,33222.0
6936,319343,10719.0
6938,379713,23995.0
6939,155722,1277.0
6942,314331,508.0
6944,101862,11846.0
6945,373175,50314.0
6946,318155,10715.0
6947,311113,8619.0
6948,343121,21525.0
6949,321442,14892.0
6950,338188,12146.0
6951,312528,10588.0
6952,348836,4970.0
6953,315733,470.0
6954,338135,11042.0
6957,307987,10147.0
6958,338094,10756.0
6959,300556,9562.0
6961,104237,11012.0
6962,334029,279714.0
6963,293088,30068.0
6965,312848,158413.0
6966,99365,9556.0
6967,37635,13581.0
6969,85426,19184.0
6970,50307,24203.0
6971,101829,9065.0
6973,104265,4823.0
6974,99615,10168.0
6975,119167,10234.0
6978,102943,14022.0
6979,86567,860.0
6981,48452,48035.0
6982,43686,5000.0
6983,36969,22744.0
6984,27075,17831.0
6985,19254,780.0
6986,16641,31510.0
6987,10323,234.0
6989,85615,8289.0
6990,79240,11583.0
6992,109951,6472.0
6993,91167,5143.0
6994,102004,11384.0
6996,102034,8010.0
6997,104427,10410.0
6998,107148,47095.0
6999,104452,10407.0
7000,102070,9292.0
7001,77745,11850.0
7004,99938,951.0
7005,102216,10804.0
7007,102266,9319.0
7008,70849,1643.0
7009,104756,2007.0
7010,101316,10995.0
7012,100201,2612.0
7013,48424,3112.0
7015,102598,2611.0
7016,93692,1825.0
7017,105104,10538.0
7018,100404,11092.0
7019,93793,18410.0
7020,102721,14904.0
7022,266308,3176.0
7023,107156,9261.0
7024,73650,5336.0
7025,102443,23908.0
7026,94072,14671.0
7027,90022,11509.0
7028,100449,10729.0
7030,105211,20763.0
7031,107927,2047.0
7032,100485,14249.0
7033,93936,10021.0
7034,150662,11634.0
7036,90142,11824.0
7037,103030,8222.0
7038,210358,20067.0
7040,90180,9846.0
7041,111477,23719.0
7044,100935,483.0
7045,100944,10166.0
7046,94332,6069.0
7047,90350,11018.0
7048,119807,11676.0
7049,24025,28293.0
7050,27630,28292.0
7051,59903,3681.0
7052,27948,43875.0
7053,26942,31798.0
7054,41594,43436.0
7055,28333,20325.0
7056,22286,17687.0
7057,26714,19075.0
7058,39566,41465.0
7059,37120,17641.0
7060,70239,12545.0
