MOVID,plot
117630.0,Muscle-bound twins try to smash a jewel smuggling ring.
117646.0,An orphaned stable boy befriends with a young dragon named Drake and with the help of others help him learn how to fly and fight and protect himself from a ruthless knight.
117849.0,"On a distant planet, rural vegans master telepathy and mental power to travel interstellar etc. Mila is sent to Earth to report back. She lands in Paris - quite a cultural shock. Earthlings are strange."
117851.0,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it."
117867.0,"In 1971, a young and disoriented British soldier is accidentally abandoned by his unit following a riot on the deadly streets of Belfast."
117877.0,"Set in Algeria in the 1920s, a rabbi's cat who learns how to speak after swallowing the family parrot expresses his desire to convert to Judaism."
117881.0,A linguistics professor and her family find their bonds tested when she is diagnosed with Alzheimer's Disease.
117887.0,"A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven."
117895.0,"After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles."
117922.0,"Sid, Eddie and Crash get in trouble with Santa and have to get their names off of the naughty list."
118082.0,"A likable guy pursues his office crush with the help of his evil talking pets, but things turn sinister when she stands him up for a date."
118166.0,The story of a teenager boy in times of the comunism fall in the Soviet Union.
118198.0,"The son of a founding leader in the Palestinian organization, Hamas, becomes a spy for the Israelis."
118248.0,"When a devastating illness threatens to end Evan Lake's career in the C.I.A., he goes rogue to hunt down a terrorist who tortured him during a mission gone awry years ago."
118270.0,"The Augustine Interfaith Order of Hellbound Saints, a team of blasphemous ministers who live in a constant state of debauchery, work to drag the worst of demons back to Hell."
118290.0,"After Earth is taken over by an army of robots, the small number of humans left are forced into hiding. In the nuclear winter, only droids walk the face of the Earth, in fear of the rumored human resurgence, and in search of a hidden cache of weapons. One robot, his evil circuits destroyed, enters a small town where a robot civil war is taking place. He tries to convince both sides to join forces in search of the weapons, all the while having a hidden agenda, and an affinity for one of the local droids.::James Falkner <jhf@cise.ufl.edu>"
118326.0,"Nick, a young Boston Italian, trying to find purpose in the ideology of the mafia and finding his world turned upside down."
118354.0,"Journalist Gary Webb, California 1996, started investigating CIA's role in the 1980s in getting crack cocaine to the black part of LA to get money and weapons to the Contras/freedom fighters in Nicaragua."
118512.0,"At Camp Spirit Thunder, high school cheer leaders compete. The red team/Sharks' cutie, Carson, and blue team/Jets' hunk, Penn, are in love. Does that make them archenemies like the Sharks and Jets?"
118530.0,Four different stories about italian football team's supporter.
118572.0,"After a trip to Thailand, a first-time drug mule finds himself in police custody, with his stomach crammed with narcotics. Now, he has to endure seven sphincter-clenching days to convince them of his innocence. Will nature take its course?"
118696.0,Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.
118700.0,"A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965."
118702.0,"After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp."
118706.0,"In order to make good with his former employers, a submarine captain takes a job with a shadowy backer to search the depths of the Black Sea for a submarine rumored to be loaded with gold."
118814.0,Unrequited love motivates a guy to write about his experiences.
118834.0,A teenager enters the competitive world of grocery store bagging.
118862.0,A Romanian police officer teams up with a small crew of old friends from the World War II Jewish Resistance to pull off a heist by convincing everyone at the scene of the crime that they are only filming a movie.
118880.0,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire."
118888.0,"Chappelle cuts loose in what he does best, Chappelle-style! And for what it's worth, no one is safe from Dave!"
118894.0,"The gang goes on a trip to check on Velma's younger sister, Madelyn. She's been studying stage magic at the Whirlen Merlin Magic Academy, where apparently there have been sightings of a giant griffin. The gang decides to investigate."
118896.0,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household."
118900.0,A chronicle of one woman's one thousand one hundred mile solo hike undertaken as a way to recover from a recent personal tragedy.
118924.0,A comedian tries to make it as a serious actor when his reality television star fiancée talks him into broadcasting their wedding on her television show.
118930.0,Comedian Bill Burr's 2014 stand-up comedy special.
118985.0,"A drama about the awakening of painter Margaret Keane, her phenomenal success in the 1950s, and the subsequent legal difficulties she had with her husband, who claimed credit for her works in the 1960s."
118997.0,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.
119068.0,"A group of high school teenagers and their parents attempt to navigate the many ways the Internet has changed their relationships, their communications, their self-images, and their love lives."
119141.0,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Jong-Un Kim, they are recruited by the CIA to assassinate him."
119145.0,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
119153.0,"Funnyman Bill Burr takes the stage to uncork a profanity-laced, incisive routine that pokes fun at plastic surgery, reality TV, gold diggers and more."
119155.0,"Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever."
119167.0,"Homicide detective Sean Nault, a cop on a parallel Earth whose technology is powered exclusively by magic. Sean investigates a baffling series of murders committed by a means he's never seen before: science. With the aid of Lenoir, a member of the ridiculed subculture of ""pragmatists"" who believe science is more than the stuff of myths & children's stories, and the 130-year-old sorcerer Winston Churchill, Sean uncovers an ominous plot that will lead him to another dimension and the realization that, unless he prevents it, both earths could well be destroyed.::Anonymous"
119218.0,"Frank Castle is staying in a bad neighborhood, where he encounters a gang that terrorizes its residents."
119655.0,"When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him."
119714.0,As the town of Dog River goes bankrupt the residents of the town must pack up and move out. However our favourite citizens make one last-ditch effort to save Dog River.
119828.0,"A bounty hunter is hired by a mining town's crippled mayor to find his daughter, who has been kidnapped by the mayor's corrupt right-hand-man and his outlaw gang."
119964.0,"Boyd Mitchler and his family must spend Christmas with his estranged family of misfits. Upon realizing that he left all his son's gifts at home, he hits the road with his dad in an attempt to make the 8-hour round trip before sunrise."
120130.0,"Hotaru is rescued by a spirit when she gets lost in a forest as a child. The two become friends, despite the spirit revealing that he will disappear if he is ever touched by a human."
120138.0,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
120466.0,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself."
120478.0,"The life and work of photographer Sebastião Salgado, who has spent forty years documenting societies in hidden corners of the world."
120625.0,"Dima Nikitin is an ordinary honest plumber who suddenly decides to face the corrupt system of local politics in order to save the lives of 800 inhabitants of an old dormitory, which is about to collapse."
120635.0,"Accused of a ruthless murder he never committed or witnessed, Bryan Mills goes on the run and brings out his particular set of skills to find the true killer and clear his name."
120637.0,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.
120761.0,"A five-person team of gold prospectors in the Yukon has just begun to enjoy great success when one of the members snaps, and suddenly kills two of the others. The two survivors, a husband and wife, subdue the killer but are then faced with an agonizing dilemma. With no chance of turning him over to the authorities for many weeks, they must decide whether to exact justice themselves or to risk trying to keep him restrained until they can return to civilization.::Snow Leopard"
120783.0,"JR busts out of prison with Brendan Lynch, Australia's most notorious criminal, and joins Lynch's gang for a gold heist that soon pits the two men against one another."
120799.0,"When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline."
120807.0,"Comedian John Mulaney talks about his milk toast boyish looks, his childhood, his Jewish girlfriend, his gayish charm, his favorite TV shows, Ice-T, a homeless person he met in N.Y., and a prostate exam with Batman."
120813.0,"The critically-acclaimed comedian, actor, writer, and voice of Remy the Rat (the Oscar-winning Ratatouille) takes time out from his many film and television outings to return to the comedy stage for his fourth stand-up special."
120827.0,"When the latest heir to the Baskerville estate seems to be threatened by a family curse, only the master detective, Sherlock Holmes, can find out the truth."
120919.0,"From people's eyes he seems like a sadistic cop who give no mercy to his enemy. But, deep inside his heart Ji-wook hides his desire to become a woman."
121007.0,Disney's pups are back and take one small step for dog and one giant leap for dogkind.
121035.0,"Follow the man behind the magic as he finds fame, engages in espionage, battles spiritualists and encounters the greatest names of the era, from U.S. presidents to Sir Arthur Conan Doyle and Grigori Rasputin."
121097.0,"When twins Sarah and Julie feel like their mom is tired of them, they take off on an exciting adventure to their great-grandmother's house and encounter a pair of villains along the way."
121099.0,"Being one of 101 takes its toll on Patch, who doesn't feel unique. When he's accidentally left behind on moving day, he meets his idol, Thunderbolt, who enlists him on a publicity campaign."
121129.0,"A spoof on The Hangover (2009), The Hunger Games (2012) and other movies, TV series etc. 4 men, with hangovers after a bachelor party, find themselves in a future, dystopian, kill or be killed game."
121169.0,A woman who studies butterflies and moths tests the limits of her relationship with her lesbian lover.
121171.0,The story of the Soviet Union's famed Red Army hockey team through the eyes of its players.
121231.0,A young woman is followed by an unknown supernatural force after a sexual encounter.
121253.0,"65 years after a masked serial killer terrorized the small town of Texarkana, the so-called ""moonlight murders"" begin again. Is it a copycat or something even more sinister? A lonely high school girl may be the key to catching him."
121338.0,"Speedee Taxis is a great success, which means its workaholic owner Charlie starts neglecting Peggy, his wife. Suddenly a fleet of rival taxis appears from nowhere and start pinching all the fares. The rivals are Glamcabs, and they have a secret weapon. All their drivers are very attractive women! Who's behind Glamcabs? It's open warfare and only one fleet can survive!::Simon N. McIntosh-Smith <Simon.N.Smith@cs.cf.ac.uk>"
121342.0,"Captain Crowther's lot is not a happy one! Five of his crew have to be replaced and at such short notice before the voyage begins there isn't much to choose from. Not only does he get the five most incompetent shipmates ever to sail the seven seas, but the passengers turn out to be a rather strange bunch too. The SS Happy Wanderer will never be the same.::Simon N. McIntosh-Smith <Simon.N.Smith@cs.cf.ac.uk>"
121372.0,Stand-up comedian Bill Burr's 2010 comedy special.
121374.0,"In his first stand-up special, Comedian Bill Burr takes aim at the stuff that drives us crazy, political correctness gone haywire, and girlfriends; or as he calls them, ""relentless psycho robots."""
121469.0,A reality TV director copes with a spoiled celebutante and a show gone haywire when a masked killer starts bumping off the crew in this slasher-movie satire.
121715.0,"""What's Wrong with People?"" asks Sebastian Maniscalco, as he hilariously tries to bridge the Italian-American Old World he grew up in with the contemporary frenetic world we all live in today."
121781.0,"The Little family spend their vacation near Lake Garland. Meanwhile, in the forest, a beast is threatening the animals to give her food every night."
122092.0,"A black comedy set in 1979, about a soldier mistakenly posted to an Arctic military base."
122246.0,"When dreamer Larry Guthrie (Larry the Cable Guy) loses his first love to the town hot shot, he decides to win her back by volunteering to help the local children at her after school program. But when Larry accidentally tells the kids that the tooth fairy is make believe, he is soon transformed into a tutu clad fairy with a sentence of collecting teeth.::HANIBALL"
122260.0,"During World War II, a teenage Jewish girl named Anne Frank and her family are forced into hiding in the Nazi-occupied Netherlands."
122433.0,"Trouble strikes when an exhausted pop singer, sent on a vacation to a farm, realizes that the farm's owner grows deadly bees."
122490.0,"Hannah and Amber Baker are trapped in a dark Southern underworld of violence, drugs and bikers. Both live in fear of their ""Uncle Frank"" Stinson, the ruthless leader of a crime organization."
122627.0,"On another planet, in the futuristic wild west town called Oblivion, the pacifist sheriff Stone, dandy alien bounty hunter Sweeney, and the lizard-like alien Jaggar are all after Lash, the sexy villainies from the previous movie."
122882.0,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
122884.0,A prequel set before the haunting of the Lambert family that reveals how gifted psychic Elise Rainier reluctantly agrees to use her ability to contact the dead in order to help a teenage girl who has been targeted by a dangerous supernatural entity.
122886.0,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
122888.0,"Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption."
122890.0,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
122892.0,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
122896.0,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.
