MOVID,plot
6811.0,"A high school senior visits college for the weekend, and stays at the wildest house on campus."
6812.0,A veteran detective is assigned a rookie partner after his previous partner is killed by a car theft gang. He is determined to apprehend those responsible for his friend's death but his new partner isn't really up to the task.
6814.0,"Slick Private Investigator Mike Murphy (Burt Reynolds) and tough Police Lieutenant Speer (Clint Eastwood), once partners, now bitter enemies, reluctantly team up to investigate a murder."
6816.0,"A nerd gets himself in hot water with the new bully, a quiet bad boy who challenges him to fight on the grounds of their high school after the day's end."
6817.0,"A thinly fictionalized account of a legendary movie director, whose desire to hunt down an animal turns into a grim situation with his movie crew in Africa."
6818.0,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
6820.0,"Two death-obsessed sisters, outcasts in their suburban neighborhood, must deal with the tragic consequences when one of them is bitten by a deadly werewolf."
6821.0,College graduates deal with Vietnam and other issues of the late 1960s.
6827.0,The comedic misadventures of a person of indeterminate gender.
6832.0,"After being shot, a lawyer loses his memory and must relearn speech and mobility, but he has a loving family to support him."
6835.0,"A former astronaut helps a government agent and a police detective track the source of mysterious alien pod spores, filled with lethal flesh-dissolving acid, to a South American coffee plantation controlled by alien pod clones."
6836.0,A crazed scientist invents an invisibility formula. He plans to use the formula to create an army of invisible zombies.
6837.0,A French playboy and an American former nightclub singer fall in love aboard a ship.
6849.0,"A musical retelling of Charles Dickens' classic novel about an old bitter miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions."
6850.0,Fake faith healer Jonas Nightingale is stranded in a small town where he finds he can't fool all of the people all of the time.
6851.0,A waitress lives with her two teen daughters in a trailer park in New Mexico. They all want a boyfriend.
6852.0,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers."
6853.0,"Todd Barret is an aspiring businessman. He's got what it takes, but what he doesn't have is enough money to stay in college. So he cooks up a plan to make the first ever all male sports calendar. He eventually convinces Cactus Jack, a very shadowy and tough loan shark, to give him enough money to make the deal. Todd makes enough to pay for his education, but what about the money he owes Cactus Jack?::Sean Kilby and Jason Parker <gestalt@ix.netcom.com>"
6856.0,"The life of the renowned musical composer, playwright, actor, dancer, and singer George M. Cohan."
6857.0,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.
6858.0,"A couple pick up a hitchhiker on the way to their yacht. The husband invites the young man to come along for their day's sailing. As the voyage progresses, the antagonism between the two men grows. A violent confrontation is inevitable."
6860.0,"From start to finish, it's a story of friendship between four street-wise males who don't mind using violence to achieve the lives that they want. They trust no one but each other, which is vital to their success as mobsters."
6862.0,A Florida police chief must solve a vicious double homicide before he himself falls under suspicion.
6863.0,"After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band."
6867.0,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss."
6868.0,"In the police investigation of a brutal crime scene, one man was at the center of it all: legendary porn star John Holmes."
6869.0,"On June 12, 2000, a young man with a gun took the passengers aboard Bus 174 in Rio de Janeiro, Brazil hostage. This documentary examines the event itself, the resulting media frenzy, the police response, and the perpetrator's background."
6870.0,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
6872.0,"A group of college students travels to a mysterious island to attend a rave, which is soon taken over by bloodthirsty zombies."
6873.0,A beautiful gold digger matches wits with a shrewd Beverly Hills divorce lawyer who is increasingly attracted to her.
