MOVID,plot
704.0,"A group of gentlemen of fortune visits a legendary ""Lost City"", located in Tibet. They plan to steal a priceless statue ""Golden Dragon"" during the martial arts tournament."
706.0,"A white school teacher takes over a talented, but undisciplined black high school basketball team and turns them into a winning team."
707.0,"In 1950's Los Angeles, a special crime squad of the LAPD investigates the murder of a young woman."
708.0,A successful veternarian & radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.
709.0,A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.
710.0,Two over-loyal Celtic fans kidnap their opponent's star player in order to guarantee their team the championship.
711.0,A teenage boy sent to spend the summer with his eccentric uncle on the Florida coast befriends a remarkable dolphin and takes on local bad guys who are polluting the water.
714.0,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world."
715.0,"In a time of war and disease, a young officer gallantly tries to help a young woman find her husband."
718.0,"A medieval knight and his servant ask a familiar wizard to move them back in time to prevent father-in-law's accidentally killing. Instead, they fly away to the 20th century."
719.0,A man who never has enough time for the things he wants to do is offered the opportunity to have himself duplicated.
722.0,How was it possible that a movie like Plan 9 from Outer Space (1957) could be made? This documentary about Edward D. Wood Jr.'s masterpiece gives the answer.
724.0,"A newcomer to a Catholic prep high school falls in with a trio of outcast teenage girls who practice witchcraft, and they all soon conjure up various spells and curses against those who anger them."
725.0,"The boxing champ's promoter thinks, change is needed. He finds the one man who's beaten his black champ (at 17), a white man now in a rock band. Like Rocky, he trains heavily whereas the champ slacks."
726.0,A lawyer assigned to the clemency case of a woman on death row finds himself forming a deep friendship with her while he tries to prevent her impending execution.
728.0,"A recently orphaned young woman goes to live with eccentric relatives in Sussex, where she sets about improving their gloomy lives."
731.0,"A hardened New Orleans cop, Dave Robicheaux, finally tosses in the badge and settles into life on the bayou with his wife. But a bizarre plane crash draws him back into the fray when his family is viciously threatened."
733.0,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco."
735.0,A cemetery man must kill the dead a second time when they become zombies.
736.0,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes."
737.0,"During the Second American Civil War in 2017, Barb Wire owns a nightclub called the Hammerhead. Things become complicated when her ex-lover Axel Hood, who is married to the fugitive Corrina Devonshire, re-enters her life."
741.0,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
742.0,An obese attorney is cursed by a gypsy to rapidly and uncontrollably lose weight.
743.0,"Dick Steele, Agent WD-40 is assigned by his Director, to stop the evil General Rancor from destroying the world. WD-40 believed Rancor was dead and he teams up with the hot K.G.B. Agent Veronique Ukrinsky to find Rancor and save the world."
745.0,Wallace's whirlwind romance with the owner of the local wool shop puts his head in a spin; Gromit is framed for sheep-rustling in a fiendish criminal plot.
747.0,"An incredibly dull-witted family unknowingly stumble upon an illegal weapons deal while on the trail of their ""stolen"" garbage."
748.0,"Zane, an astronomer, discovers intelligent alien life. But the aliens are keeping a deadly secret, and will do anything to stop Zane from learning it."
750.0,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
757.0,A broken-hearted hit man moves to the desert where he finds skilled swordsmen to carry out his contract killings.
759.0,A film about the work of the artist most famous for her monuments such as the Vietnam Memorial Wall and the Civil Rights Fountain Memorial.
760.0,"The story follows a group of German soldiers, from their Italian R&R in the summer of 1942 to the frozen steppes of Soviet Russia and ending with the battle for Stalingrad."
761.0,"The Phantom, descendent of a line of African superheroes, travels to New York City to thwart a wealthy criminal genius from obtaining three magic skulls which would give him the secret to ultimate power."
762.0,A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.
764.0,"The life of an overweight, unhappy cook is changed after a kind, beautiful college drop-out comes to work as a waitress at his and his mother's road-side restaurant."
765.0,"Because of an unusual disorder that has aged him four times faster than a typical human being, a boy looks like a 40-year-old man as he starts fifth grade at public school after being homeschooled."
766.0,"This is the story of Valerie Solanas who was a 60s radical preaching hatred toward men in her ""Scum"" manifesto. She wrote a screenplay for a film that she wanted Andy Warhol to produce. After many times of ignoring her, Valerie shot him."
773.0,"Mory, a cowherd, and Anta, a university student, try to make money in order to go to Paris and leave their boring past behind."
775.0,"Anthology film from three European directors based on stories by Edgar Allan Poe: a cruel princess haunted by a ghostly horse, a sadistic young man haunted by his double, and an alcoholic actor haunted by the Devil."
778.0,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
779.0,"Two strangers, whose paths are always crossing, finally meet when fate steps in."
780.0,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive."
781.0,"After her mother commits suicide, a young woman travels to Italy in search of love, truth and a deeper connection with herself."
782.0,An all star baseball player becomes the unhealthy focus of a down on his luck salesman.
783.0,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer."
784.0,"A lonely and mentally disturbed cable guy raised on television just wants a new friend, but his target, a designer, rejects him, with bad consequences."
785.0,"A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches."
786.0,A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.
788.0,Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.
790.0,"Romania in the 1920s. Marie-Thérèse Von Debretsy (Dame Kristin Scott Thomas) refuses the advances of her husband's commanding officer. As a result, the cosmopolitan family is reassigned to a dark and dangerous outpost on the frontier between Bulgaria and Romania where their relationship and humanity are severely tested.::MK2 Films"
795.0,"Mercedes is a taxi dancer who wants to be an actress. She's involved with the married Harry, who considers himself a respected actor. Ernesto is in love with Mercedes, but he doesn't dance or have money."
798.0,Disaster in a New York tunnel as explosions collapse both ends of it. One hero tries to help the people inside find their way to safety.
799.0,"After a tragic car accident that kills his wife, a man discovers he can communicate with the dead to con people. However, when a demonic spirit appears, he may be the only one who can stop it from killing the living and the dead."
800.0,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town."
801.0,Harriet M. Welsch is a spy. But when her friends find her secret notebook the tables are turned on her. Can she win her friends back and still keep on going with the spy business?
802.0,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis."
803.0,"Just as Amelia thinks she's over her anxiety and insecurity, her best friend announces her engagement, bringing her anxiety and insecurity right back."
804.0,"The love lives of two brothers, Mickey and Francis, interconnect as Francis cheats on his wife with Mickey's ex-girlfriend, while Mickey impulsively marries a stranger."
